index_name,series_id,unique_id,ds,y
TOPIX1000,return,TOPIX1000_return,2010-03-16,-0.00095238
TOPIX1000,return,TOPIX1000_return,2010-03-17,0.0099922136
TOPIX1000,return,TOPIX1000_return,2010-03-18,-0.007143298
TOPIX1000,return,TOPIX1000_return,2010-03-19,0.008687032
TOPIX1000,return,TOPIX1000_return,2010-03-23,-0.0017327883
TOPIX1000,return,TOPIX1000_return,2010-03-24,0.0047705185
TOPIX1000,return,TOPIX1000_return,2010-03-25,0.0001615318
TOPIX1000,return,TOPIX1000_return,2010-03-26,0.015331497
TOPIX1000,return,TOPIX1000_return,2010-03-29,0.007927883
TOPIX1000,return,TOPIX1000_return,2010-03-30,0.0139055758
TOPIX1000,return,TOPIX1000_return,2010-03-31,-0.0007592276
TOPIX1000,return,TOPIX1000_return,2010-04-01,0.0067019625
TOPIX1000,return,TOPIX1000_return,2010-04-02,0.0042671221
TOPIX1000,return,TOPIX1000_return,2010-04-05,0.0062918291
TOPIX1000,return,TOPIX1000_return,2010-04-06,-0.0049406358
TOPIX1000,return,TOPIX1000_return,2010-04-07,0.0047630961
TOPIX1000,return,TOPIX1000_return,2010-04-08,-0.0097970676
TOPIX1000,return,TOPIX1000_return,2010-04-09,0.0033270146
TOPIX1000,return,TOPIX1000_return,2010-04-12,0.0053306343
TOPIX1000,return,TOPIX1000_return,2010-04-13,-0.0064242087
TOPIX1000,return,TOPIX1000_return,2010-04-14,0.002653851
TOPIX1000,return,TOPIX1000_return,2010-04-15,0.0079308553
TOPIX1000,return,TOPIX1000_return,2010-04-16,-0.0101125838
TOPIX1000,return,TOPIX1000_return,2010-04-19,-0.0182802946
TOPIX1000,return,TOPIX1000_return,2010-04-20,0.0012970678
TOPIX1000,return,TOPIX1000_return,2010-04-21,0.0152992149
TOPIX1000,return,TOPIX1000_return,2010-04-22,-0.009163051
TOPIX1000,return,TOPIX1000_return,2010-04-23,-8.7893e-05
TOPIX1000,return,TOPIX1000_return,2010-04-26,0.0189266588
TOPIX1000,return,TOPIX1000_return,2010-04-27,0.0009766186
TOPIX1000,return,TOPIX1000_return,2010-04-28,-0.0201351584
TOPIX1000,return,TOPIX1000_return,2010-04-30,0.0096838128
TOPIX1000,return,TOPIX1000_return,2010-05-06,-0.0309094982
TOPIX1000,return,TOPIX1000_return,2010-05-07,-0.026048958
TOPIX1000,return,TOPIX1000_return,2010-05-10,0.0137979473
TOPIX1000,return,TOPIX1000_return,2010-05-11,-0.013509266
TOPIX1000,return,TOPIX1000_return,2010-05-12,0.0007784357
TOPIX1000,return,TOPIX1000_return,2010-05-13,0.0163239338
TOPIX1000,return,TOPIX1000_return,2010-05-14,-0.0121947378
TOPIX1000,return,TOPIX1000_return,2010-05-17,-0.0169432284
TOPIX1000,return,TOPIX1000_return,2010-05-18,-0.0069686836
TOPIX1000,return,TOPIX1000_return,2010-05-19,-0.0035191162
TOPIX1000,return,TOPIX1000_return,2010-05-20,-0.0139066675
TOPIX1000,return,TOPIX1000_return,2010-05-21,-0.020479325
TOPIX1000,return,TOPIX1000_return,2010-05-24,0.0003146862
TOPIX1000,return,TOPIX1000_return,2010-05-25,-0.0230810444
TOPIX1000,return,TOPIX1000_return,2010-05-26,-0.0008549224
