index_name,series_id,unique_id,ds,y,lag_1,lag_2,lag_5,vol_5,vol_21,mom_5,mom_21
RUSSELL1000,return,RUSSELL1000_return,2014-08-15,0.0001874747,0.0045003576,0.0072273129,0.0112639993,0.00485841223694217,0.007386766803984599,0.004890151479999996,-0.0004585397095238093
RUSSELL1000,return,RUSSELL1000_return,2014-08-18,0.008883183,0.0001874747,0.0045003576,0.003332923,0.003583574726374108,0.006930766486002013,0.002674846559999996,0.0001032663952380954
RUSSELL1000,return,RUSSELL1000_return,2014-08-19,0.0050170215,0.008883183,0.0001874747,-0.0018738354,0.004563916377845288,0.006812627340992074,0.0037848985599999952,2.3231752380952477e-05
RUSSELL1000,return,RUSSELL1000_return,2014-08-20,0.0025596342,0.0050170215,0.008883183,0.0072273129,0.0032907980020740893,0.006874901167610745,0.0051630699399999955,0.0003711573857142858
RUSSELL1000,return,RUSSELL1000_return,2014-08-21,0.0026773859,0.0025596342,0.0050170215,0.0045003576,0.003220121881502792,0.006809635871942676,0.004229534199999996,0.00025027264285714296
RUSSELL1000,return,RUSSELL1000_return,2014-08-22,-0.0014961147,0.0026773859,0.0025596342,0.0001874747,0.0032843535739296354,0.006821883540517013,0.0038649398599999952,0.0002902839761904763
RUSSELL1000,return,RUSSELL1000_return,2014-08-25,0.0046940776,-0.0014961147,0.0026773859,0.008883183,0.0038012555469562285,0.006832541027470321,0.003528221979999995,0.0001919439380952382
RUSSELL1000,return,RUSSELL1000_return,2014-08-26,0.0013046743,0.0046940776,-0.0014961147,0.0050170215,0.0025967318846757312,0.0067962075712136236,0.002690400899999996,0.000648210842857143
RUSSELL1000,return,RUSSELL1000_return,2014-08-27,0.000181065,0.0013046743,0.0046940776,0.0025596342,0.002276117108723755,0.006795583418098166,0.0019479314599999957,0.0007135131095238095
RUSSELL1000,return,RUSSELL1000_return,2014-08-28,-0.001559534,0.000181065,0.0013046743,0.0026773859,0.0023632051819516037,0.006699135197690158,0.0014722176199999958,0.0009279100380952381
RUSSELL1000,return,RUSSELL1000_return,2014-08-29,0.0036792997,-0.001559534,0.000181065,-0.0014961147,0.0025733122712985556,0.0067210219458088295,0.0006248336399999959,0.0008231227571428572
RUSSELL1000,return,RUSSELL1000_return,2014-09-02,8.83126e-05,0.0036792997,-0.001559534,0.0046940776,0.002547650996057967,0.0047975674988216584,0.0016599165199999957,0.0019408592142857142
RUSSELL1000,return,RUSSELL1000_return,2014-09-03,-0.0008810784,8.83126e-05,0.0036792997,0.0013046743,0.0019354129769759876,0.004700104457717943,0.0007387635199999959,0.0020738233190476193
RUSSELL1000,return,RUSSELL1000_return,2014-09-04,-0.0017771157,-0.0008810784,8.83126e-05,0.000181065,0.0020206077939289606,0.004597406746186377,0.0003016129799999959,0.001695839866666667
RUSSELL1000,return,RUSSELL1000_return,2014-09-05,0.0050034211,-0.0017771157,-0.0008810784,-0.001559534,0.002228851173045646,0.003972711340197384,-9.002316000000401e-05,0.0020446169523809527
RUSSELL1000,return,RUSSELL1000_return,2014-09-08,-0.0024915881,0.0050034211,-0.0017771157,0.0036792997,0.002959744355441616,0.00399385711059182,0.001222567859999996,0.002283008233333333
RUSSELL1000,return,RUSSELL1000_return,2014-09-09,-0.0067259685,-0.0024915881,0.0050034211,8.83126e-05,0.002965796626193796,0.003791054911180522,-1.160970000000398e-05,0.0024057560047619046
RUSSELL1000,return,RUSSELL1000_return,2014-09-10,0.0036592517,-0.0067259685,-0.0024915881,-0.0008810784,0.00421217113727905,0.0037212261875684753,-0.001374465920000004,0.0015490908714285718
RUSSELL1000,return,RUSSELL1000_return,2014-09-11,0.0013725924,0.0036592517,-0.0067259685,-0.0017771157,0.0047943066523878156,0.003729719409473182,-0.0004663999000000041,0.0015646303333333336
RUSSELL1000,return,RUSSELL1000_return,2014-09-12,-0.0062710759,0.0013725924,0.0036592517,0.0050034211,0.004785950523578592,0.003646423578791821,0.000163541719999996,0.0017192221333333332
RUSSELL1000,return,RUSSELL1000_return,2014-09-15,-0.0017665104,-0.0062710759,0.0013725924,-0.0024915881,0.004587436774458921,0.0038128558658681246,-0.002091357680000004,0.0010764417142857144
RUSSELL1000,return,RUSSELL1000_return,2014-09-16,0.0074826577,-0.0017665104,-0.0062710759,-0.0067259685,0.004583080254333728,0.003776548693824459,-0.0019463421400000038,0.0007780194285714287
RUSSELL1000,return,RUSSELL1000_return,2014-09-17,0.0013138502,0.0074826577,-0.0017665104,0.0036592517,0.005236952754558291,0.004045463884526491,0.000895383099999996,0.0011254090952380954
RUSSELL1000,return,RUSSELL1000_return,2014-09-18,0.0046497381,0.0013138502,0.0074826577,0.0013725924,0.005028385925184609,0.003636204691357793,0.00042630279999999603,0.0007649646761904764
RUSSELL1000,return,RUSSELL1000_return,2014-09-19,-0.0009527058,0.0046497381,0.0013138502,-0.0062710759,0.00538360160554231,0.003615554900698135,0.001081731939999996,0.0007474749904761906
RUSSELL1000,return,RUSSELL1000_return,2014-09-22,-0.0089916501,-0.0009527058,0.0046497381,-0.0017665104,0.003884289081371486,0.00360876699581036,0.002145405959999996,0.000580220704761905
RUSSELL1000,return,RUSSELL1000_return,2014-09-23,-0.0058692578,-0.0089916501,-0.0009527058,0.0074826577,0.00629764253530023,0.004130390290920114,0.0007003780199999959,2.4552323809524026e-05
RUSSELL1000,return,RUSSELL1000_return,2014-09-24,0.0076745325,-0.0058692578,-0.0089916501,0.0013138502,0.0054805855904170725,0.004316922305853828,-0.0019700050800000044,-0.0001836925857142855
RUSSELL1000,return,RUSSELL1000_return,2014-09-25,-0.0158868952,0.0076745325,-0.0058692578,0.0046497381,0.006969379768374132,0.0045290861004367656,-0.0006978686200000038,-4.176616190476167e-05
RUSSELL1000,return,RUSSELL1000_return,2014-09-26,0.0086953201,-0.0158868952,0.0076745325,-0.0009527058,0.00883244001932244,0.00568081780182073,-0.004805195280000004,-0.0008604123285714284
RUSSELL1000,return,RUSSELL1000_return,2014-09-29,-0.0023565555,0.0086953201,-0.0158868952,-0.0089916501,0.010733747555704928,0.00605065756534069,-0.0028755901000000043,-0.00045497160952380933
RUSSELL1000,return,RUSSELL1000_return,2014-09-30,-0.0032859244,-0.0023565555,0.0086953201,-0.0058692578,0.01018469019264471,0.006060424296197261,-0.0015485711800000042,-0.0004929250142857141
RUSSELL1000,return,RUSSELL1000_return,2014-10-01,-0.0133715481,-0.0032859244,-0.0023565555,0.0076745325,0.00997405381893816,0.006011064932739207,-0.001031904500000004,-0.0008246023523809521
RUSSELL1000,return,RUSSELL1000_return,2014-10-02,0.0002843814,-0.0133715481,-0.0032859244,-0.0158868952,0.009820950253768883,0.006597815645788936,-0.005241120620000005,-0.0014655480999999997
RUSSELL1000,return,RUSSELL1000_return,2014-10-03,0.0111303302,0.0002843814,-0.0133715481,0.0086953201,0.007916768190652684,0.006607871796400187,-0.002006865300000004,-0.001410050014285714
RUSSELL1000,return,RUSSELL1000_return,2014-10-06,-0.0017231728,0.0111303302,0.0002843814,-0.0023565555,0.008768753514182437,0.007150078167684906,-0.0015198632800000043,-0.0007954097333333331
RUSSELL1000,return,RUSSELL1000_return,2014-10-07,-0.0152652546,-0.0017231728,0.0111303302,-0.0032859244,0.008758213272850372,0.007026919805960101,-0.0013931867400000044,-0.0011157237285714283
RUSSELL1000,return,RUSSELL1000_return,2014-10-08,0.0170992958,-0.0152652546,-0.0017231728,-0.0133715481,0.010804815354573,0.007674954150702856,-0.0037890527800000045,-0.0017239935619047615
RUSSELL1000,return,RUSSELL1000_return,2014-10-09,-0.0208388614,0.0170992958,-0.0152652546,0.0002843814,0.012507803200720327,0.008603383822525784,0.0023051159999999964,-0.0005894571666666665
RUSSELL1000,return,RUSSELL1000_return,2014-10-10,-0.0124999346,-0.0208388614,0.0170992958,0.0111303302,0.016340919557374378,0.009601489931226831,-0.0019195325600000035,-0.001756033980952381
RUSSELL1000,return,RUSSELL1000_return,2014-10-13,-0.0167502437,-0.0124999346,-0.0208388614,-0.0017231728,0.01498391399377929,0.00984949524685588,-0.006645585520000004,-0.0024166305047619045
RUSSELL1000,return,RUSSELL1000_return,2014-10-14,0.0023239111,-0.0167502437,-0.0124999346,-0.0152652546,0.01525436095247681,0.010309262005150567,-0.009650999700000005,-0.0029156384952380952
RUSSELL1000,return,RUSSELL1000_return,2014-10-15,-0.0069197584,0.0023239111,-0.0167502437,0.0170992958,0.015658743506865167,0.010370519046834866,-0.0061331665600000045,-0.002720856519047619
RUSSELL1000,return,RUSSELL1000_return,2014-10-16,0.0014864799,-0.0069197584,0.0023239111,-0.0208388614,0.009031520073284987,0.01013556801837474,-0.010936977400000002,-0.003406685857142857
RUSSELL1000,return,RUSSELL1000_return,2014-10-17,0.0125916114,0.0014864799,-0.0069197584,-0.0124999346,0.008409581307053412,0.010139657224152686,-0.006471909140000004,-0.0033984653952380947
RUSSELL1000,return,RUSSELL1000_return,2014-10-20,0.0093483293,0.0125916114,0.0014864799,-0.0167502437,0.011000543388150642,0.010592824118132713,-0.0014535999400000043,-0.003020280952380953
RUSSELL1000,return,RUSSELL1000_return,2014-10-21,0.0202526473,0.0093483293,0.0125916114,0.0023239111,0.007591361567543291,0.010926603288125973,0.0037661146599999957,-0.0025297554714285714
RUSSELL1000,return,RUSSELL1000_return,2014-10-22,-0.0077435582,0.0202526473,0.0093483293,-0.0069197584,0.010439743445508657,0.01188353860390015,0.007351861899999995,-0.0011371698809523813
